Date,Open,High,Low,Close,Adj Close,Volume
04-06-2019,49.599998,50.275002,49.189999,49.764999,19.903517,62125660
06-06-2019,49.764999,50.255001,48.299999,48.459999,19.381582,72227990
07-06-2019,48.299999,48.990002,47.580002,48.209999,19.281597,68111040
10-06-2019,48.900002,49.48,48.310001,48.605,19.439575,68509170
11-06-2019,48.990002,49.415001,48.700001,49.25,19.697544,65345480
12-06-2019,49.275002,50.799999,49.005001,50.584999,20.231478,127555250
13-06-2019,50.400002,50.584999,49.654999,50.255001,20.099493,72248570
14-06-2019,49.904999,50.849998,49.705002,50.18,20.069498,66058960
17-06-2019,50.009998,50.084999,47.205002,47.310001,18.921642,119382860
18-06-2019,47.325001,47.849998,46.365002,47.23,18.889645,106394540
19-06-2019,48.209999,49.84,48.209999,49.41,19.761536,188375230
20-06-2019,49.41,50.279999,48.985001,50.099998,20.037502,78263560
21-06-2019,50,50.09,49.445,49.764999,19.903517,61262460
24-06-2019,49.720001,49.98,48.185001,48.625,19.447575,72620000
25-06-2019,47.400002,49.98,47.395,49.799999,19.917515,136491190
26-06-2019,49.5,51.23,49.029999,51.060001,20.421455,129600840
27-06-2019,51.150002,51.645,50.665001,51.07,20.425453,119467140
28-06-2019,51.150002,51.564999,49.91,50.439999,20.173485,87600340
01-07-2019,50.985001,51.485001,50.314999,50.695,20.275469,85443750
02-07-2019,50.855,51.09,50.209999,50.880001,20.349463,57240040
03-07-2019,50.790001,51.48,50.459999,51.029999,20.409454,69464090
04-07-2019,50,50.264999,49.375,49.529999,20.327374,72630590
05-07-2019,49.650002,49.849998,47.529999,47.834999,19.631737,76163480
08-07-2019,47.5,47.950001,46.52,46.805,19.209019,80825910
09-07-2019,46.900002,47.200001,46.255001,46.845001,19.225435,68585800
10-07-2019,46.950001,47.435001,44.805,45.48,18.665234,134813440
11-07-2019,46.130001,46.650002,45.369999,46.200001,18.960724,99870380
12-07-2019,46.43,47.945,46.025002,47.290001,19.408068,132441180
15-07-2019,47.799999,47.825001,46.334999,46.830002,19.21928,78060790
16-07-2019,46.509998,47.860001,46.41,47.669998,19.564018,64352100
17-07-2019,47.599998,47.98,46.849998,47.57,19.52298,54793220
18-07-2019,47.299999,47.535,46.384998,46.66,19.149509,52331730
19-07-2019,47,47.299999,45.325001,45.805,18.798615,72848850
22-07-2019,45.805,46.73,45.119999,46.555,19.106417,69544520
23-07-2019,46.619999,46.790001,45.674999,45.985001,18.872488,55292840
24-07-2019,46.095001,46.299999,44.310001,44.599998,18.304075,83420010
25-07-2019,44.799999,45.195,43.830002,44.035,18.072197,75280910
26-07-2019,43.900002,44.82,43.564999,44.549999,18.283556,65857860
29-07-2019,44.555,44.59,43.099998,43.345001,17.789019,78727230
30-07-2019,43.490002,44.189999,40.619999,41.505001,17.033873,94629210
31-07-2019,41.299999,43.360001,40.950001,43.205002,17.731562,115418000
01-08-2019,42.75,43.189999,41.48,42,17.23702,94219850
02-08-2019,41.389999,41.715,40.459999,40.91,16.78968,134859520
